Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Adversário,Pontuação,Status_ID,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
2,80583,Lucas Lima,SPT,Meia,mandante,PAL,5.4,0,0,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,81091,Jair,VAS,Meia,visitante,COR,6.1,0,0,4,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,81121,Lucas Mugni,CEA,Meia,mandante,GRE,2.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,81845,Alisson,SAO,Meia,visitante,CAM,0.9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,81881,João Ricardo,FOR,Goleiro,visitante,MIR,4.2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
2,81952,Willian Oliveira,VIT,Meia,mandante,FLA,3.7,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,82627,Luiz Araújo,FLA,Atacante,visitante,VIT,7.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,82766,Wellington Rato,VIT,Meia,mandante,FLA,8.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,82775,Lucas Ramon,MIR,Lateral,mandante,FOR,11.0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,83257,Gabriel,CRU,Atacante,visitante,INT,0.9,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,83528,Léo Pereira,FLA,Zagueiro,visitante,VIT,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,83817,Clayson,MIR,Atacante,mandante,FOR,-0.5,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2,84042,Tiquinho Soares,SAN,Atacante,mandante,BAH,5.0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,84263,Jemerson,GRE,Zagueiro,visitante,CEA,-1.2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,84428,Fernando Sobral,CEA,Meia,mandante,GRE,2.4,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,84558,Lucas Romero,CRU,Meia,visitante,INT,6.5,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,84674,Lucas Evangelista,PAL,Meia,visitante,SPT,1.2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,85034,Óscar Romero,INT,Meia,mandante,CRU,6.0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,85048,Memphis Depay,COR,Atacante,mandante,VAS,18.4,0,1,3,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,85403,Danielzinho,MIR,Meia,mandante,FOR,6.5,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,85856,Ricardo Ryller,VIT,Meia,mandante,FLA,1.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,85930,Aylon,CEA,Atacante,mandante,GRE,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,86485,Keno,FLU,Atacante,mandante,RBB,3.5,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,86686,Tchê Tchê,VAS,Meia,visitante,COR,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,86757,Everton,FLA,Atacante,visitante,VIT,0.2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,86859,José Welison,FOR,Meia,visitante,MIR,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,87008,Léo Jardim,VAS,Goleiro,visitante,COR,-1.7,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
2,87225,Pedro Henrique,RBB,Zagueiro,visitante,FLU,3.2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,87228,Guilherme Arana,CAM,Lateral,mandante,SAO,7.7,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,87258,Soteldo,SAN,Atacante,mandante,BAH,1.2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,87470,Thaciano,SAN,Meia,mandante,BAH,10.8,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,87742,Neto Moura,MIR,Meia,mandante,FOR,0.9,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,87863,Arrascaeta,FLA,Meia,visitante,VIT,11.8,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,87999,Gustavo Scarpa,CAM,Meia,mandante,SAO,3.8,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,88312,Junior Alonso,CAM,Zagueiro,mandante,SAO,7.5,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,88323,Ángel Romero,COR,Atacante,mandante,VAS,-0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,88963,Leonardo Jardim,CRU,Técnico,visitante,INT,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,89048,Héctor Hernández,COR,Atacante,mandante,VAS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,89256,Gerson,FLA,Meia,visitante,VIT,3.9,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,89273,João Pedro,GRE,Lateral,visitante,CEA,-0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,89275,William,CRU,Lateral,visitante,INT,7.5,0,0,2,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,89695,Iury Castilho,MIR,Atacante,mandante,FOR,2.0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2,89840,Calleri,SAO,Atacante,visitante,CAM,-3.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
